geocode,intensity_pre_kgco2_ton,intensity_pos_kgco2_ton,delta_intensity_kgco2_ton,delta_relativo_pct,termo_escala_tco2e,termo_intensidade_tco2e,termo_interacao_tco2e
3166709,132.33426947251317,122.56732593467984,-9.766943537833328,-7.380509656919967,2736.966666043772,-966.9274102454995,-202.00208909404108
3169604,65.16354426380657,59.12339711670541,-6.040147147101159,-9.269212126719763,28230.86160884983,-12525.785347036763,-2616.778447724982
3170107,85.74943370257496,78.37596632957694,-7.373467372998022,-8.598852557526108,121242.14182209712,-49903.62718045061,-10425.43301286883
3170503,76.44885774183507,71.18804434772102,-5.260813394114052,-6.881480704237101,2475.5100180285094,-815.4260760876782,-170.35174422208829
3500105,21.889855327170046,20.764526132308315,-1.125329194861731,-5.140870864801714,4682.791670007954,-1152.3370955384125,-240.73627262280053
3501707,18.94360961769378,18.176476077345065,-0.7671335403487163,-4.049563709506531,2881.085215920341,-558.4732173738655,-116.67138134386802
3502101,20.943799594411836,19.908454967678303,-1.035344626733533,-4.943442196657481,10719.72260345966,-2536.5943354971555,-529.9232905440547
3502804,25.005233059630076,23.413392375050954,-1.5918406845791218,-6.3660301856937425,9914.917480680051,-3021.313619331173,-631.1866397067175
3503208,16.26275372368535,15.53744073983102,-0.7253129838543302,-4.459964137549301,15220.681158950407,-3249.4021676673997,-678.8369211799115
3503307,18.916301996503496,18.03756660797539,-0.8787353885281064,-4.645386760533494,10116.684200584123,-2249.5625946319524,-469.95910845891865
3503703,20.41403205845373,19.577991369910954,-0.8360406885427771,-4.095421649916344,3117.5121779666692,-611.1457433247701,-127.67526867522552
3504404,17.327364741623157,16.530913611557224,-0.7964511300659325,-4.59649313061857,4568.3535991164845,-1005.134865812418,-209.9840593657554
3504503,33.77259833099154,30.539710946311235,-3.232887384680307,-9.572516017263725,4938.834850781063,-2263.021169276215,-472.7707571572203
3505203,22.705686960597117,21.49379768483409,-1.2118892757630277,-5.3373821187005275,8012.678324709146,-2047.1233646189064,-427.66726013201895
3505302,19.831983837420445,19.108271684052102,-0.7237121533683428,-3.6492171398546094,3511.092192274383,-613.3098643720022,-128.12737807657373
3505609,19.486715633822477,18.642321964741534,-0.8443936690809437,-4.3331759181385925,3633.3636052919396,-753.6213496547422,-157.44003676292243
3505906,20.709841448184534,19.80973481422484,-0.9001066339596946,-4.346274867491077,16622.491661269658,-3458.2096876731466,-722.4591774245631
3506201,22.584488033321197,21.52836263026237,-1.0561254030588252,-4.6763309467126986,4868.192722290863,-1089.7101908760958,-227.652802818103
3506805,20.836158246829495,19.963117506203314,-0.8730407406261804,-4.190027404687356,5954.780174333268,-1194.3197331766148,-249.50692119345348
3507902,22.54725295682012,21.456356355783008,-1.0908966010371124,-4.838268338614335,10099.047327272863,-2338.8823126235693,-488.6190093371202
3508207,21.59317505227035,20.517223521485132,-1.0759515307852183,-4.982831511256102,4053.457058318131,-966.8070075023659,-201.9769355971105
3508801,23.16427786787838,21.911072005339925,-1.2532058625384543,-5.41007956166965,9910.884247039417,-2566.575632125655,-536.1867230298164
3510401,20.10323934512368,19.3291705546556,-0.7740687904680783,-3.8504679627954563,7213.461906577377,-1329.5212027882096,-277.7520397212162
3511003,22.10835099223021,20.912411231105516,-1.195939761124695,-5.4094480476856805,9006.435671480056,-2332.0825341931554,-487.19845859694465
3511102,19.398402752263337,18.61393778842383,-0.7844649638395076,-4.043966783543449,5312.705539540769,-1028.3982666702216,-214.84404732650148
3511409,30.156126832545972,28.12151556061189,-2.0346112719340823,-6.746925038590268,6199.157191883434,-2002.057491583137,-418.2524887607528
3511508,18.345875634324106,17.366404301027757,-0.979471333296349,-5.338918418610737,1828.8692891467772,-467.3841308223517,-97.64183933057252
3511904,22.16232138470571,20.99998832857218,-1.16233305613353,-5.244635866239445,1809.7633893203401,-454.3339073145304,-94.91549981036516
3512001,21.47084061892108,20.464383446451915,-1.0064571724691653,-4.687553646978449,9912.959024858546,-2224.270351156855,-464.67527229323616
3512100,21.440789042946857,20.375051172000347,-1.06573787094651,-4.970609378282624,13616.840067959949,-3239.8431276773904,-676.8399294437635
3513702,16.82684995390762,16.124074846343746,-0.7027751075638733,-4.176510217235705,10686.571478827791,-2136.4363269941746,-446.3257496854395
3515509,22.03696881096646,20.875232308504806,-1.161736502461654,-5.271761794587322,4833.961034142667,-1219.8233275847365,-254.83491096317132
3516903,18.699997955500898,17.428790176903732,-1.2712077785971658,-6.797903302568117,3513.652809674467,-1143.3306321091839,-238.854720389638
3517406,25.651902802252817,23.868312020719316,-1.7835907815335013,-6.953054497683741,27330.76267357166,-9096.312985820856,-1900.3228233260434
3517901,18.924622173574075,18.146897781842267,-0.7777243917318089,-4.109590059968574,14980.068943953389,-2946.7977202718234,-615.6194242971478
3518206,22.733530111926566,21.543927433836256,-1.18960267809031,-5.232811060285861,14597.423767330618,-3656.3627913783766,-763.8556054136735
3518602,21.595693440706192,20.51092555787975,-1.0847678828264407,-5.023075020974961,8129.876151931474,-1954.7517248532458,-408.3697782238701
3519105,17.067273746189137,16.308198113760263,-0.7590756324288748,-4.447550579648754,7576.7869905185935,-1613.035718911359,-336.9814337155612
3519303,17.236919282424733,16.555991490828518,-0.6809277915962149,-3.9504030879259773,5815.5951246572395,-1099.6983834278872,-229.7394493857322
3520103,19.38448931010866,18.505563113337278,-0.8789261967713813,-4.5341725681317655,9142.465907555612,-1984.2637818310702,-414.53518123118533
3520905,21.623842810573915,20.646677789921508,-0.9771650206524072,-4.518923991505247,5692.006797380736,-1231.227926022033,-257.2174607649476
3521408,19.755849602026945,18.9998039763902,-0.7560456256367445,-3.8269456432750655,2993.6218050210246,-548.3871099168537,-114.56427924338448
3521804,41.602432640479215,37.329760674396475,-4.27267196608274,-10.270245499839895,12167.707215676231,-5981.740752515836,-1249.6534027516823
3522307,81.55101753414252,70.52480483068702,-11.0262127034555,-13.520631669419961,11108.079240776997,-7189.090682652985,-1501.8824796927593
3522703,26.37498994048048,24.625434536350753,-1.749555404129726,-6.633387948499267,12728.17892660579,-4041.4729835396674,-844.3094869808918
3524303,21.36849411554159,20.275570247541104,-1.0929238680004865,-5.114650859770172,21837.361344799563,-5346.310331291379,-1116.90478977291
3526001,22.010234232687875,20.909540138069534,-1.1006940946183406,-5.000828628091908,7789.3292137386325,-1864.5757962834691,-389.5310052569679
