geocode,delta_queima,delta_cana_dir,delta_fert_n,delta_calagem,delta_res_outros,balanco_liquido_total,balanco_so_robustos
3534757,42.637398801025874,1137.3819132293308,646.2929011118767,86.65122543798182,-67.95800966848462,1845.0054289117306,1802.3680301107047
3535002,216.66682968172918,5868.856453262622,3404.1455160768487,305.87481050217866,-151.5668085095724,9643.976801013805,9427.309971332077
3535507,268.5042833732554,7139.40341806303,3994.0949522101014,485.26257787705737,-343.46198074469345,11543.80325077875,11275.298967405495
3535705,48.20653003238868,1291.5659578961315,729.5893694322266,71.68073857603693,-20.842511813715454,2120.2000841230683,2071.9935540906795
3536000,40.93122741660445,1096.0721343047132,630.7996998023157,100.07601875647123,-159.34985200528308,1708.5292282748217,1667.5980008582171
3536307,113.55518156703234,3022.866777069164,1714.6297956464957,197.0529729802465,-73.43221876849084,4974.672508494447,4861.117326927415
3536406,68.7519952491189,1820.3176249241267,1025.375264464412,101.40015645605904,-44.94067832014505,2970.9043627735714,2902.1523675244525
3537404,145.01112697409343,3856.2486414122036,2183.7459144702807,237.91675516118485,-201.22580971060137,6221.696628307161,6076.685501333067
3539301,143.34064227590997,3818.489457899198,2199.329905486369,339.63216747863936,-237.63292295946775,6263.159250180649,6119.818607904739
3539509,221.29897715780484,5898.41350521884,3342.8515588307882,295.54375213218583,-68.35755471834938,9689.75023862127,9468.451261463464
3539608,65.17317249098944,1750.4677688672905,1003.9688728892401,102.02482548773911,-49.03344157240027,2872.601198162859,2807.42802567187
3540200,159.09269172794777,4233.917968994156,2389.018373699199,236.95961135573148,-85.59998202542758,6933.388663751607,6774.295972023659
3540309,61.37022898845885,1640.4646080886037,939.773018704392,112.66913324711985,-85.77285458246031,2668.504134446114,2607.1339054576556
3540804,107.49541565059288,2907.5780995998775,1671.6743497204304,152.3724854219443,-89.03300254382903,4750.087347849017,4642.591932198424
