treatment,snapshot,outcome,spec,ATT_mean,SE_mean,CI_lo,CI_hi,dose_slope,n_strata,n_munis,time_s
T2,2022,log1p_residuos_florestais,LEAN,0.20630176089242655,0.20578510616512818,-0.1970370471912247,0.6096405689760778,0.025461524173697403,5,842,14.276034593582153
T2,2022,log1p_residuos_florestais,FULL,0.14597700032906538,0.17708519092059,-0.20110997387529103,0.49306397453342177,0.06114654738824282,5,842,18.8628191947937
T2,2022,log1p_residuos_florestais,FULL2,0.08643196149586532,0.15085330180808235,-0.20924051004797609,0.38210443303970676,0.06529655291048016,5,842,17.707314252853394
T2,2022,log1p_residuos_florestais,RICH,0.13167664671968815,0.18554591263999526,-0.23199334205470257,0.49534663549407887,0.05304179831594535,5,842,34.718087673187256
T2,2025,asinh_luc,LEAN,-0.017746434097580817,0.07103302300858344,-0.15697115919440435,0.12147829099924273,-0.02022670538506819,5,842,14.664264917373657
T2,2025,asinh_luc,FULL,-0.014584566057340884,0.08372910754337837,-0.17869361684236248,0.14952448472768073,-0.027657691413071152,5,842,22.149144411087036
T2,2025,asinh_luc,FULL2,-0.031259303373721944,0.0845260583574673,-0.19693037775435784,0.13441177100691398,-0.02896805039308588,5,842,20.003539323806763
T2,2025,asinh_luc,RICH,0.01741819870897298,0.16307574073936695,-0.30221025314018624,0.3370466505581322,0.0012755027899594021,5,842,31.82079243659973
T2,2025,asinh_carbono_solo,LEAN,0.031227633628233536,0.07276205826195017,-0.11138600056518881,0.17384126782165588,-0.014817925531368367,5,842,15.594295978546143
T2,2025,asinh_carbono_solo,FULL,0.020145010266075326,0.10092242924522776,-0.17766295105457108,0.21795297158672172,-0.0080586792619737,5,842,18.953309535980225
T2,2025,asinh_carbono_solo,FULL2,-0.017762254657135306,0.08711563820561391,-0.18850890554013855,0.15298439622586796,-0.00861963421779324,5,842,18.15150284767151
T2,2025,asinh_carbono_solo,RICH,0.038685796920597884,0.12157305814500177,-0.19959739704360557,0.27696899088480137,0.013611291303972685,5,842,31.50974464416504
T2,2025,log1p_queima,LEAN,0.03639192494857664,0.22460102601053042,-0.403826086032063,0.47660993592921624,-0.04778577712181497,5,842,14.585721969604492
T2,2025,log1p_queima,FULL,0.09037983095064987,0.21493616838303442,-0.3308950590800976,0.5116547209813973,-0.005697874935460083,5,842,18.760355472564697
T2,2025,log1p_queima,FULL2,0.17714283310450246,0.2612636462712332,-0.3349339135871146,0.6892195797961196,0.006407164658812373,5,842,17.869773864746094
T2,2025,log1p_queima,RICH,-0.30595145366284215,0.49608597917888414,-1.278279972853455,0.6663770655277708,-0.20340198341756377,5,842,31.35625123977661
