Cidade,uf,ano,solos_pipeline,solos_cana_residuo,solos_cana_subproduto,solos_cana_atribuivel,share_cana
Janaúba (MG),MG,2020,11872.043195491186,2.905368776241698,2.470108209683495,5.375476985925193,0.00045278448683262155
Janaúba (MG),MG,2021,11728.787582856083,1.8269481219038801,1.5157863819843163,3.342734503888196,0.0002850025614560755
Janaúba (MG),MG,2022,11409.372255485378,1.6659255646560387,1.3977453725829883,3.063670937239027,0.00026852230505197873
Janaúba (MG),MG,2023,11117.09421045004,1.8499844729078208,1.5683011430275282,3.418285615935349,0.00030748013385747594
Janaúba (MG),MG,2024,10693.27341601079,1.4799875783262568,1.2855266332637723,2.765514211590029,0.0002586218554413178
Jandaia (GO),GO,2012,41712.379357036254,3701.4954407090654,3630.186991284861,7331.682431993926,0.17576754299337713
Jandaia (GO),GO,2013,35078.14878652284,3183.372200962965,3018.327783493862,6201.699984456827,0.17679667254389275
Jandaia (GO),GO,2014,35978.13678503202,3084.145686759619,3225.301400928638,6309.447087688257,0.17536892267064746
Jandaia (GO),GO,2015,35535.98644475979,3289.2694051967883,3407.7597151595587,6697.0291203563465,0.18845766757500282
Jandaia (GO),GO,2016,41830.34539327458,3490.7743302243157,3353.213409963429,6843.987740187745,0.16361298659723977
Jandaia (GO),GO,2017,36236.50699890515,3348.5299159083256,3354.947105630228,6703.477021538554,0.18499236203260688
Jandaia (GO),GO,2018,38163.542330477656,3495.33548580071,3286.4586098788936,6781.794095679604,0.17770347513741191
Jandaia (GO),GO,2019,44806.358247428936,3853.9628383112185,3990.555610026914,7844.518448338133,0.17507601053000696
Jandaia (GO),GO,2020,47481.91366289244,4021.423082879577,4000.482527702845,8021.905610582422,0.16894655231327832
Jandaia (GO),GO,2021,62826.01871606371,4304.85374910193,4249.8049530830685,8554.658702185,0.13616426564998454
Jandaia (GO),GO,2022,62623.56413732029,4097.041938630658,3993.853931021612,8090.8958696522695,0.1291989042960033
Jandaia (GO),GO,2023,58395.80947080079,4007.0974837498875,3765.7158702657157,7772.813354015603,0.13310567015775648
Jandaia (GO),GO,2024,57284.291449893084,4602.800000869181,4409.391565402958,9012.191566272139,0.15732395981811448
Jandaia do Sul (PR),PR,2012,11829.149157108728,693.2570684037636,694.5015397525503,1387.758608156314,0.11731685768137773
Jandaia do Sul (PR),PR,2013,14896.333279699254,895.364402301655,886.1163031765977,1781.4807054782527,0.1195918936578881
Jandaia do Sul (PR),PR,2014,15085.057076387471,919.5992214499298,874.4451214112693,1794.044342861199,0.11892857506448573
Jandaia do Sul (PR),PR,2015,13215.006440191537,770.1925664104166,699.7635317699612,1469.956098180378,0.11123385409103687
Jandaia do Sul (PR),PR,2016,14651.087206635064,835.4864010618583,646.5487798448618,1482.0351809067201,0.10115530404020448
Jandaia do Sul (PR),PR,2017,14998.37175576995,799.5689985951776,683.7220596666352,1483.2910582618129,0.09889680576101091
Jandaia do Sul (PR),PR,2018,13988.870465085438,625.2764934232972,583.0905828427534,1208.3670762660506,0.08638060372937126
Jandaia do Sul (PR),PR,2019,15091.312415669818,947.730214800232,718.7423239132896,1666.4725387135218,0.11042595188627645
Jandaia do Sul (PR),PR,2020,17072.83889740001,987.0092150353406,751.3975409215461,1738.4067559568866,0.10182294616635931
